empty	ID	chr	str	start	end	trxStart	trxEnd	exonCount	exonStarts	exonEnds		name				row	align
99	NM_001135919	chr13	-	28172217	28191150	28173083	28190135	7	28172217,28173637,28176079,28182896,28184816,28189946,28190632,	28173093,28173718,28176236,28182980,28185687,28190159,28191150,	0	SLC46A3	cmpl	cmpl	2,2,1,1,0,0,-1,	1	right
100	NM_001033602	chr13	+	28496747	28978084	28496805	28975343	14	28496747,28506021,28572909,28753840,28796749,28831398,28912119,28952286,28960036,28964782,28969374,28970554,28973233,28975129,	28499040,28506262,28573107,28754002,28796848,28831610,28912186,28952501,28960142,28964856,28969473,28970674,28973331,28978084,	0	MTUS2	cmpl	cmpl	0,0,1,1,1,1,0,1,0,1,0,0,0,2,	2	right
806	NM_003045	chr13	-	28981550	29067825	28986616	29008325	13	28981550,28988274,28989280,28989709,28991583,28994453,28995402,28996268,29002674,29004960,29007955,29025897,29067552,	28986720,28988383,28989447,28989927,28991686,28994593,28995625,28996390,29002849,29005119,29008339,29025997,29067825,	0	SLC7A1	cmpl	cmpl	1,0,1,2,1,2,1,2,1,1,0,-1,-1,	3	right
808	NM_007106	chr13	-	29236544	29322820	29239391	29321675	5	29236544,29239754,29244248,29249291,29321648,	29239444,29239832,29244335,29249400,29322820,	0	UBL3	cmpl	cmpl	1,1,1,0,0,	4	right
809	NR_033889	chr13	+	29408667	29422625	29422625	29422625	5	29408667,29409338,29410042,29419739,29422453,	29408838,29409418,29410146,29419908,29422625,	0	LOC440131	unk	unk	-1,-1,-1,-1,-1,	1	right
101	NM_001014380	chr13	-	29674766	29779163	29680676	29755914	11	29674766,29682452,29699548,29702604,29703450,29712596,29713095,29727583,29752199,29755752,29779076,	29680875,29682579,29699683,29702731,29703609,29712702,29713223,29727752,29752360,29755928,29779163,	0	KATNAL1	cmpl	cmpl	2,1,1,0,0,2,0,2,0,0,-1,	2	right
812	NR_024464	chr13	-	29812406	29846036	29846036	29846036	5	29812406,29835297,29839737,29844421,29845919,	29813605,29835363,29839854,29844511,29846036,	0	LINC00426	unk	unk	-1,-1,-1,-1,-1,	3	right
813	NM_002128	chr13	-	29930878	29938081	29933493	29935817	5	29930878,29934674,29935343,29935667,29937932,	29933670,29934849,29935489,29935831,29938081,	0	HMGB1	cmpl	cmpl	0,2,0,0,-1,	4	right
814	NM_005800	chr13	+	30089829	30131686	30093277	30131493	9	30089829,30093209,30093900,30102971,30109880,30114764,30119068,30125284,30129610,	30090193,30093376,30094029,30103611,30109994,30114894,30119194,30125442,30131686,	0	USPL1	cmpl	cmpl	-1,0,0,0,1,1,2,2,1,	1	right
815	NM_001204406	chr13	+	30185614	30236565	30185862	30236243	6	30185614,30207687,30216196,30224188,30228080,30236080,	30185978,30207812,30216296,30224259,30228162,30236565,	0	ALOX5AP	cmpl	cmpl	0,2,1,2,1,2,	2	none
816	NR_038287	chr13	-	30354971	30404745	30404745	30404745	4	30354971,30356074,30402937,30403382,	30355472,30356197,30403011,30404745,	0	LOC100507064	unk	unk	-1,-1,-1,-1,	3	none
816	NM_032849	chr13	+	30378311	30397709	30378652	30396572	5	30378311,30389539,30393150,30393697,30396447,	30378930,30389649,30393263,30393983,30397709,	0	C13orf33	cmpl	cmpl	0,2,1,0,1,	4	none
816	NR_038288	chr13	-	30402808	30404745	30404745	30404745	3	30402808,30403382,30404412,	30403011,30404073,30404745,	0	LOC100507064	unk	unk	-1,-1,-1,	1	none
12	NM_152325	chr13	+	30404833	30447153	30404852	30447044	7	30404833,30411830,30424796,30429009,30438358,30441021,30446982,	30404913,30411915,30424962,30429166,30438535,30441183,30447153,	0	C13orf26	cmpl	cmpl	0,1,2,0,1,1,1,	2	none
818	NM_006644	chr13	-	30608762	30634117	30609454	30633719	18	30608762,30610543,30610917,30611136,30612320,30613258,30615928,30617699,30620095,30620510,30622090,30623083,30623745,30624988,30626769,30627650,30630942,30633612,	30609661,30610705,30611037,30611244,30612446,30613396,30616060,30617905,30620229,30620617,30622319,30623328,30623879,30625088,30626892,30627791,30631000,30634117,	0	HSPH1	cmpl	cmpl	0,0,0,0,0,0,0,1,2,0,2,0,1,0,0,0,2,0,	3	none
102	NM_194318	chr13	+	30672111	30804411	30672221	30801805	15	30672111,30687187,30695088,30701321,30719159,30719991,30733082,30741350,30746645,30748838,30756784,30758856,30789702,30795887,30801637,	30672291,30687237,30695128,30701431,30719236,30720103,30733219,30741414,30746765,30748908,30756898,30758956,30789822,30796032,30804411,	0	B3GALTL	cmpl	cmpl	0,1,0,1,0,2,0,2,0,0,1,1,2,2,0,	4	none
